,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_16-CrossR-Replica_2,999.0,-0.808451,-0.671639,-0.795108,-0.076803,-0.895487,-1.013171,0.081322,-0.851916,-1.013189
Cluster_16-CrossR-Replica_3,-0.507589,-0.979203,-1.081454,-1.03694,-1.290164,-0.972468,-1.145583,999.0,-1.316687,-1.013189
Cluster_16-CrossR-Replica_4,999.0,-1.127227,-0.941621,-1.093801,-0.958443,-1.189918,-0.875997,999.0,-0.248863,-1.013189
Cluster_16-CrossR-Replica_5,0.148131,-1.340538,-1.12737,-1.090571,-0.916666,-0.804394,-1.104074,999.0,-1.177983,-1.013189
Cluster_16-CrossR-Replica_6,0.146906,-1.045637,-1.011804,-1.001121,-0.835338,-1.051497,-0.981017,999.0,-1.03563,-1.013189
Cluster_16-CrossR-Replica_7,999.0,-0.450219,-1.201665,-0.946749,-0.821984,-1.086627,-0.834138,0.079345,-1.070725,-1.013189
Cluster_16-CrossR-Replica_8,999.0,-1.35922,-1.113305,-1.060583,-0.317005,-1.031832,-0.953889,0.081274,-0.657738,-1.013189
Cluster_16-CrossR-Replica_9,999.0,-0.836014,-0.899635,-1.023577,-0.972631,-0.982799,-1.021878,-0.988655,-0.665429,-1.013189
Cluster_17-CrossR-Replica_1,-0.267653,-0.56157,-0.883859,-1.133462,-0.622818,-0.818608,-1.09861,0.082164,-0.851391,-1.00485
Cluster_17-CrossR-Replica_10,999.0,-0.976201,-1.152165,-1.10277,-0.634266,-0.568294,-1.046577,-0.333428,-0.5743,-1.00485
Cluster_17-CrossR-Replica_2,0.146931,-0.774375,-0.976175,-1.070906,-0.318526,-0.895487,-0.96204,999.0,-1.23741,-1.00485
Cluster_17-CrossR-Replica_3,-0.679094,-0.979203,-1.037274,-1.013091,-0.835806,-1.136076,-0.997624,-0.746271,-0.951177,-1.00485
Cluster_17-CrossR-Replica_4,0.147158,-1.164499,-1.025728,-1.026239,-1.021255,-1.060512,-0.979529,-0.574093,-0.732309,-1.00485
Cluster_17-CrossR-Replica_5,0.148131,-0.87049,-1.257745,-0.793092,-0.636468,-0.929047,-1.15125,999.0,-1.075533,-1.00485
Cluster_17-CrossR-Replica_6,999.0,-0.733696,-1.073005,-1.153698,-0.08849,-1.078396,-0.926784,999.0,-0.950319,-1.00485
Cluster_17-CrossR-Replica_7,-0.680506,-0.863447,-1.177815,-0.904649,-0.730085,-1.103661,-0.944667,999.0,-0.847348,-1.00485
Cluster_17-CrossR-Replica_8,0.146824,-1.104394,-0.884979,-0.988957,-0.62154,-1.022293,-1.045786,999.0,-0.947179,-1.00485
Cluster_17-CrossR-Replica_9,999.0,-1.067185,-1.066316,-0.973868,-0.489186,-1.05983,-0.980173,-0.333705,-0.907152,-1.00485
Cluster_18-CrossR-Replica_1,-0.922603,-1.232854,-0.975759,-1.15301,-0.903016,-1.152229,-0.963805,-0.877321,-0.581935,-1.00485
Cluster_18-CrossR-Replica_10,999.0,-0.654872,-0.843386,-0.906347,999.0,-0.904845,-0.963647,-0.575151,-0.724124,-1.00485
Cluster_18-CrossR-Replica_2,-0.921247,-1.071854,-1.040686,-1.048407,-0.318526,-0.845778,-1.013171,999.0,-0.662066,-1.00485
Cluster_18-CrossR-Replica_3,0.147361,-0.657874,-0.747833,-0.962323,-0.502184,-1.003047,-1.005964,999.0,-0.903459,-1.00485
Cluster_18-CrossR-Replica_4,0.147158,-0.769068,-0.776108,-0.90793,-1.078075,-1.120608,-0.915754,999.0,-0.851941,-1.00485
Cluster_18-CrossR-Replica_5,-0.678324,-1.00352,-0.960263,-1.17942,-1.158388,-1.059822,-1.117937,999.0,-1.364974,-1.00485
Cluster_18-CrossR-Replica_6,-0.266321,-1.023137,-1.141602,-1.013413,-0.74344,-0.918468,-0.989597,999.0,-1.207135,-1.00485
Cluster_18-CrossR-Replica_7,-0.267279,-0.892534,-1.099944,-0.98607,-1.03462,-1.069091,-0.997304,999.0,-0.790528,-1.00485
Cluster_18-CrossR-Replica_8,0.146824,-0.862672,-0.338722,-0.988957,-0.62154,-0.972166,-0.906925,-0.331953,-1.032491,-1.00485
Cluster_18-CrossR-Replica_9,-0.265005,-0.949914,-0.918566,-1.12225,-0.972631,-0.982799,-0.988752,-0.879962,-1.040181,-1.00485
Cluster_19-CrossR-Replica_1,-0.509375,-1.107827,-1.138683,-1.102883,-0.489788,-1.032597,-0.917564,0.082164,-0.731759,-1.00485
Cluster_19-CrossR-Replica_10,-0.506478,-0.804696,-1.040928,-0.81202,-0.742959,-0.868703,-1.061867,0.079799,-0.843756,-1.00485
Cluster_19-CrossR-Replica_2,0.146931,-0.954583,-0.775582,-0.740039,999.0,-1.033266,-1.096845,0.081322,-0.490561,-1.00485
Cluster_19-CrossR-Replica_3,-0.265866,-0.899597,-1.005888,-1.013091,-0.98563,-0.972468,-0.823316,0.080184,-1.207994,-1.00485
Cluster_19-CrossR-Replica_4,-0.679297,-0.974649,-1.113127,-1.014195,-1.129948,-1.07831,-1.013126,-0.332371,-1.177769,-1.00485
Cluster_19-CrossR-Replica_5,-0.265097,-1.00352,-1.026575,-1.17942,-0.331933,-1.032089,-1.052837,999.0,-0.732523,-1.00485
Cluster_19-CrossR-Replica_6,-0.266321,-1.249374,-1.141602,-1.025457,-0.835338,-1.013633,-1.054108,999.0,-0.731096,-1.00485
Cluster_19-CrossR-Replica_7,0.145949,-0.920267,-1.010351,-0.793041,-0.316858,-1.01316,-1.145262,999.0,-0.727716,-1.00485
Cluster_19-CrossR-Replica_8,-0.266403,-0.765784,-1.025906,-1.093407,-0.48851,-0.905857,-1.037996,999.0,-1.070966,-1.00485
Cluster_19-CrossR-Replica_9,-0.506728,-0.733563,-0.988782,-0.84407,-0.622215,-0.804402,-1.045569,-0.333705,-0.99905,-1.00485
Cluster_2-CrossR-Replica_1,0.145575,-1.127375,-1.223132,-0.987881,-1.144738,-1.204102,-1.237291,999.0,-0.851391,-1.238118
Cluster_2-CrossR-Replica_10,-1.091211,-1.280735,-1.112843,-1.375072,-1.156187,-1.030819,-1.184237,-0.746655,-1.356575,-1.238118
Cluster_2-CrossR-Replica_2,-0.679524,-1.354708,-1.098893,-1.341365,-0.903258,-1.32052,-1.157524,999.0,-1.145511,-1.238118
Cluster_2-CrossR-Replica_3,-0.507589,-1.169053,-1.341809,-1.199613,-0.33068,-1.289423,-1.247687,0.080184,-1.036489,-1.238118
Cluster_2-CrossR-Replica_4,-0.507792,-1.26409,-1.235217,-1.251848,-1.221847,-1.182603,-1.218365,-1.291855,-1.237435,-1.238118
Cluster_2-CrossR-Replica_5,-0.506819,-1.150688,-1.190183,-1.057746,-0.331933,-1.077619,-1.268523,-0.877006,-1.111675,-1.238118
Cluster_2-CrossR-Replica_6,0.146906,-1.165269,-1.154426,-1.34877,-0.634747,-1.16019,-1.105345,999.0,-1.386046,-1.238118
Cluster_2-CrossR-Replica_7,-0.680506,-1.346892,-1.267974,-1.295657,-1.09144,-1.251616,-1.295084,999.0,-1.312448,-1.238118
Cluster_2-CrossR-Replica_8,-0.81266,-1.24532,-1.491659,-1.33513,-0.730233,-1.374842,-1.310296,0.081274,-1.337025,-1.238118
Cluster_2-CrossR-Replica_9,-0.265005,-1.127864,-1.036501,-1.151818,-0.972631,-1.203601,-1.219009,999.0,-0.95487,-1.238118
Cluster_20-CrossR-Replica_1,-0.509375,-0.803293,-0.992552,-1.012725,-0.731511,-0.918199,-0.867439,-0.744291,-0.581935,-0.987817
Cluster_20-CrossR-Replica_10,-0.677983,-1.023919,-1.040928,-0.861048,-0.634266,-0.938921,-0.936337,0.079799,-0.786936,-0.987817
Cluster_20-CrossR-Replica_2,-1.013145,-0.871263,-0.884275,-1.081845,-0.076803,-0.87115,-0.970869,0.081322,-1.145511,-0.987817
Cluster_20-CrossR-Replica_3,0.147361,-0.839931,-0.91934,-1.013091,-0.33068,-0.961916,-0.877061,-0.333043,-0.661737,-0.987817
