,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_18-CrossR-Replica_2,0.150649,-0.495751,-0.825438,-0.698704,0.346336,-0.962431,-0.768378,999.0,-0.712003,-0.885593
Cluster_18-CrossR-Replica_3,-0.263145,-0.545373,-0.864906,-0.513803,-0.481069,-0.933462,-0.665826,-0.74144,-0.887465,-0.885593
Cluster_18-CrossR-Replica_4,999.0,-0.908057,-0.735559,-0.981139,-0.080576,-0.984125,-0.867074,999.0,-0.372303,-0.885593
Cluster_18-CrossR-Replica_5,-0.261845,-1.309002,-0.706586,-0.942231,-0.067259,-0.863388,-0.906588,999.0,-0.356753,-0.885593
Cluster_18-CrossR-Replica_6,999.0,-0.49575,-1.022217,-0.942323,-0.06714,-1.004173,-0.858613,999.0,-0.721983,-0.885593
Cluster_18-CrossR-Replica_7,-0.503521,-0.595178,-0.731821,-1.029272,-0.600026,-0.86179,-0.825897,999.0,-1.062661,-0.885593
Cluster_18-CrossR-Replica_8,999.0,-0.935783,-0.942405,-0.678337,-0.435625,-0.697256,-0.707503,999.0,-0.938543,-0.885593
Cluster_18-CrossR-Replica_9,0.151113,-0.71604,-0.990571,-0.540803,-0.599773,-0.886108,-1.056382,999.0,-0.648846,-0.885593
Cluster_19-CrossR-Replica_1,999.0,-1.183238,-1.170153,-0.870584,999.0,-0.663847,-1.085984,999.0,-0.358314,-0.885593
Cluster_19-CrossR-Replica_10,999.0,-0.224453,-0.681377,-1.040478,-1.282526,-0.799121,-0.848417,999.0,-0.47308,-0.885593
Cluster_19-CrossR-Replica_2,999.0,-1.132356,-1.007497,-0.565674,-1.268098,-1.256597,-0.85686,999.0,-0.228558,-0.885593
Cluster_19-CrossR-Replica_3,999.0,-0.132146,-0.802094,-1.212288,999.0,-1.094028,-0.81565,999.0,-1.191999,-0.885593
Cluster_19-CrossR-Replica_4,-0.624754,-1.373157,-1.069181,-0.287713,-0.907031,-0.462204,-0.856884,-0.570861,-0.842351,-0.885593
Cluster_19-CrossR-Replica_5,999.0,-1.031571,-0.990013,-0.955333,999.0,-1.092818,-1.018429,999.0,-0.707169,-0.885593
Cluster_19-CrossR-Replica_6,0.15118,-1.113428,-0.802994,-1.083249,0.346088,-1.023101,-1.120546,999.0,0.174689,-0.885593
Cluster_19-CrossR-Replica_7,-1.088254,-0.68049,-0.756157,-0.701356,-0.600026,-0.982527,-0.589569,999.0,-0.064702,-0.885593
Cluster_19-CrossR-Replica_8,-0.503489,-0.547928,-0.52918,-0.323796,-1.503802,-1.077355,-0.720607,999.0,-0.368904,-0.885593
Cluster_19-CrossR-Replica_9,-0.503837,-1.358439,-1.051773,-0.807898,-0.708466,-0.952416,-0.483792,-0.32824,0.177609,-0.885593
Cluster_2-CrossR-Replica_1,-0.26155,-1.383829,-0.990643,-1.015419,-1.136046,-1.014263,-1.13316,999.0,-0.558905,-1.093241
Cluster_2-CrossR-Replica_10,0.199773,-1.130515,-0.26815,-1.14352,-0.081319,-1.317645,-0.888852,999.0,-0.886307,-1.093241
Cluster_2-CrossR-Replica_2,-0.262578,-0.985188,-1.081188,-1.275937,-0.480119,-0.82424,-1.017998,0.083703,-0.831635,-1.093241
Cluster_2-CrossR-Replica_3,0.150083,-1.166248,-0.65227,-0.966352,-0.309564,-1.08569,-0.926178,0.085015,-1.300692,-1.093241
Cluster_2-CrossR-Replica_4,-0.453249,-1.007648,-1.110312,-1.278174,-0.322299,-1.276615,-1.125406,999.0,-0.842351,-1.093241
Cluster_2-CrossR-Replica_5,-0.261845,-0.935981,-1.065579,-0.637696,-1.026743,-1.092818,-1.151456,999.0,-1.291901,-1.093241
Cluster_2-CrossR-Replica_6,0.15118,-1.052749,-0.885352,-1.170648,-1.026624,-1.08498,-0.935644,999.0,-0.371568,-1.093241
Cluster_2-CrossR-Replica_7,-0.808056,-0.438767,-0.731821,-0.969002,-0.466996,-1.107554,-0.74474,-1.395499,-0.938875,-1.093241
